State,p_county,ylat,xlong,p_year,p_cap_ac,p_cap_dc,Average GDP from 2010 to 2020(unit 1 million dollar),% Sun,Total Hours,Clear Days,Population,Empolyment Number,consumption (MWh),expenditures ('000 $),house_price
CA,Fresno,36.37817,-120.123959,2011,15,18.5,2016849.929,68,3055,146,963160,508312,2350782,467903,"440,130"
CA,Sacramento,38.347677,-121.41057,2012,5,6.2,2016849.929,68,3055,146,1479300,932682,4421932,631343,"585,720"
CA,Imperial,33.245914,-115.495117,2012,23,28.5,2016849.929,68,3055,146,178807,65887,578179,72723,"342,360"
CA,San Bernardino,34.547517,-117.440508,2012,10,11.4,2016849.929,68,3055,146,2106754,1164560,4526519,719245,"606,950"
CA,Fresno,36.424422,-120.341163,2012,20,26.3,2016849.929,68,3055,146,963160,508312,2350782,467903,"440,130"
CA,Fresno,36.527411,-120.313283,2012,10,13.1,2016849.929,68,3055,146,963160,508312,2350782,467903,"440,130"
CA,Tulare,35.901922,-119.438642,2012,50,66,2016849.929,68,3055,146,455769,189068,1099103,179986,"374,100"
CA,Tulare,35.909054,-119.426903,2012,20,26,2016849.929,68,3055,146,455769,189068,1099103,179986,"374,100"
CA,Kern,35.229696,-118.193516,2013,8.5,9.8,2016849.929,68,3055,146,871337,381006,1998148,380783,"383,180"
CA,San Bernardino,34.171191,-116.153642,2013,12,14.6,2016849.929,68,3055,146,2106754,1164560,4526519,719245,"606,950"
CA,San Bernardino,34.189891,-116.091639,2013,8.5,11,2016849.929,68,3055,146,2106754,1164560,4526519,719245,"606,950"
CA,Kings,36.163408,-119.650315,2013,20,25.5,2016849.929,68,3055,146,150261,47644,340481,61634,"384,330"
CA,Kings,36.221314,-119.829948,2013,20,27,2016849.929,68,3055,146,150261,47644,340481,61634,"384,330"
CA,Kings,36.142132,-119.572919,2013,20,26,2016849.929,68,3055,146,150261,47644,340481,61634,"384,330"
CA,Imperial,32.745065,-115.726842,2013,147.4,201.9,2016849.929,68,3055,146,178807,65887,578179,72723,"342,360"
CA,Kern,34.929474,-118.333067,2012,110,143,2016849.929,68,3055,146,871337,381006,1998148,380783,"383,180"
CA,San Luis Obispo,35.317457,-119.925656,2013,250,312.9,2016849.929,68,3055,146,278680,178893,528631,105276,"937,390"
CA,Kings,35.980693,-120.102349,2011,19,24,2016849.929,68,3055,146,150261,47644,340481,61634,"384,330"
CA,Sacramento,38.450118,-121.164255,2008,1,1.3,2016849.929,68,3055,146,1479300,932682,4421932,631343,"585,720"
CA,Fresno,36.678879,-119.79754,2012,1.5,1.8,2016849.929,68,3055,146,963160,508312,2350782,467903,"440,130"
CA,Sacramento,38.515353,-121.401009,2010,3,3.4,2016849.929,68,3055,146,1479300,932682,4421932,631343,"585,720"
CA,Sacramento,38.56146,-121.259196,2012,1,1.2,2016849.929,68,3055,146,1479300,932682,4421932,631343,"585,720"
CA,Riverside,33.597048,-114.571952,2015,1.5,1.8,2016849.929,68,3055,146,2323892,1107408,6343012,979313,"646,690"
CA,Riverside,33.598564,-114.571681,2015,1.5,1.8,2016849.929,68,3055,146,2323892,1107408,6343012,979313,"646,690"
CA,Tulare,36.505254,-119.540118,2013,3.7,4.2,2016849.929,68,3055,146,455769,189068,1099103,179986,"374,100"
CA,Tulare,36.265953,-119.128349,2014,3.5,4.2,2016849.929,68,3055,146,455769,189068,1099103,179986,"374,100"
CA,San Joaquin,38.135935,-121.148813,2014,1.5,1.9,2016849.929,68,3055,146,714860,354322,1697511,335738,"584,170"
CA,San Joaquin,38.121389,-121.140603,2014,1,1.4,2016849.929,68,3055,146,714860,354322,1697511,335738,"584,170"
CA,Alameda,37.633492,-122.139854,2010,1.6,1.9,2016849.929,68,3055,146,1605217,1325022,2849120,567377,"1,158,980"
CA,Riverside,33.89107,-116.543137,2014,4,5,2016849.929,68,3055,146,2323892,1107408,6343012,979313,"646,690"
CA,Tuolumne,37.890378,-120.525809,2013,1.5,1.9,2016849.929,68,3055,146,53864,25195,147293,29090,"397,420"
CA,Sacramento,38.644086,-121.172447,2010,1,1.2,2016849.929,68,3055,146,1479300,932682,4421932,631343,"585,720"
CA,Los Angeles,34.792128,-118.435099,2014,241.5,279,2016849.929,68,3055,146,10057155,7743432,20815748,3270372,"948,880"
CA,San Diego,33.293521,-116.352258,2013,26,26.5,2016849.929,68,3055,146,3253356,2496738,5828515,1201283,"1,023,450"
CA,Kern,35.299856,-118.846316,2014,60,81.6,2016849.929,68,3055,146,871337,381006,1998148,380783,"383,180"
CA,Sacramento,38.36581,-121.414346,2011,18,21.9,2016849.929,68,3055,146,1479300,932682,4421932,631343,"585,720"
