case_id,multi_poly,eia_id,p_state,p_county,ylat,xlong,p_area,p_img_date,p_dig_conf,p_name,p_year,p_pwr_reg,p_tech_pri,p_tech_sec,p_axis,p_azimuth,p_tilt,p_battery,p_cap_ac,p_cap_dc,p_type,p_agrivolt,p_zscore
402607,single,61805,OH,Miami,40.140967,-84.230544,28874,20190514,4,DG AMP Solar Piqua Staunton,2018,PJM,PV,c-si,fixed-tilt,195,15,,1.8,2.5,greenfield,non-agrivoltaic,0.35558
402617,single,61818,OH,Stark,40.702088,-81.59032,25887,20220511,4,DG AMP Solar Brewster,2018,PJM,PV,c-si,fixed-tilt,180,15,,1.9,2.2,greenfield,non-agrivoltaic,0.321676
402777,single,62041,OH,Cuyahoga,41.443276,-81.751432,60839,20210705,4,Cuyahoga County Landfill,2018,PJM,PV,thin-film,fixed-tilt,180,25,,3.7,4,landfill,non-agrivoltaic,-0.085874
402884,multi,62200,OH,Brown,39.082479,-83.876375,4187535,20220619,4,Hillcrest Solar,2021,PJM,PV,thin-film,single-axis,180,,,200,265,greenfield,non-agrivoltaic,-0.138073
403204,multi,62792,OH,Miami,40.130497,-84.256243,272534,20211226,4,DG AMP Solar Piqua Manier,2019,PJM,PV,c-si,single-axis,180,0,,12.62,13.2,greenfield,non-agrivoltaic,-0.452663
403282,single,62941,OH,Medina,41.000998,-81.750758,30542,20200818,4,DG AMP Rittman Rd,2020,PJM,PV,c-si,fixed-tilt,195,15,,2.6,3.2,greenfield,non-agrivoltaic,0.740947
403344,multi,63029,OH,Hardin,40.671823,-83.815332,3172478,20210616,4,"Hardin Solar Energy, LLC",2021,PJM,PV,c-si,single-axis,180,,,150,199.3,greenfield,non-agrivoltaic,-0.147849
403458,multi,63181,OH,Huron,41.229897,-82.71192,67715,20220511,4,Monroeville Solar,2017,PJM,PV,c-si,fixed-tilt,180,20,,3.2,5.1,greenfield,non-agrivoltaic,0.116862
403603,single,63390,OH,Richland,40.89587,-82.673058,40334,20220415,4,Shelby Solar Array,2019,PJM,PV,c-si,single-axis,180,0,,1.9,2.5,greenfield,non-agrivoltaic,-0.165633
404811,multi,65302,OH,Ross,39.422826,-82.964928,1182579,20221123,3,Salt City Solar Project - Hybrid,2022,PJM,PV,,single-axis,180,,,49.9,49.9,greenfield,non-agrivoltaic,-0.584833
404955,multi,66140,OH,Wood,41.61411,-83.556829,28432,20230829,4,PNA Rossford Solar Array,2023,PJM,PV,thin-film,fixed-tilt,180,,,1.4,1.9,PCSC,non-agrivoltaic,-0.062991
402488,single,61614,OK,Caddo,34.895178,-98.2271,112305,20220208,4,Cyril,2017,SWPP,PV,c-si,single-axis,180,0,,5,6.4,greenfield,non-agrivoltaic,-0.271448
402583,multi,61759,OK,Garfield,36.315779,-97.58389,294673,20220427,4,Covington Solar Farm,2018,SWPP,PV,c-si,single-axis,180,0,,10,13.2,greenfield,non-agrivoltaic,-0.529758
400011,single,2953,OK,Canadian,35.477412,-97.676448,50723,20210403,4,Mustang,2015,SWPP,PV,c-si,single-axis,180,0,batteries,2.5,3,greenfield,non-agrivoltaic,-0.225756
402489,single,61615,OK,Caddo,35.494086,-98.379998,68204,20220407,4,Hinton,2017,SWPP,PV,c-si,single-axis,180,0,,3,4,greenfield,non-agrivoltaic,-0.236287
402490,single,61616,OK,Love,33.942117,-97.10665,68613,20220413,4,Marietta,2017,SWPP,PV,c-si,single-axis,180,0,,3,4,greenfield,non-agrivoltaic,-0.243696
402491,single,61617,OK,Caddo,35.013856,-98.442491,68276,20220517,4,Pine Ridge,2017,SWPP,PV,c-si,single-axis,180,0,,3,4,greenfield,non-agrivoltaic,-0.237583
402492,single,61618,OK,Grady,35.265656,-97.845303,90642,20180716,4,Tuttle,2017,SWPP,PV,c-si,single-axis,180,0,,4,5.1,greenfield,non-agrivoltaic,-0.286753
403685,multi,63499,OK,Bryan,33.970526,-96.43357,215217,20220105,4,Choctaw Nation Solar Farm,2020,SWPP,PV,c-si,single-axis,180,0,,5,6.1,greenfield,non-agrivoltaic,-0.878316
